MONTH,TOT,ASIA,JPN,CHN,TWN,PIP,HKG,THI,MAL,SGP,IDN,IND,VET,MOL,MEAS,USB,AMRA,USA,CAN,EUPO,RUS,GER,ENG,FRA,OCEA,AUS
2018년12월,1324119,1110023,258521,416279,87308,42650,59546,54026,55665,40465,26089,8440,29844,8202,15320,5513,90495,71023,14083,64829,23008,6634,7787,5814,20978,17174
2019년01월,1104803,901838,206526,392814,87954,30473,35896,41334,22065,9855,18842,8671,20183,9785,15112,5754,80921,62737,12460,70038,25194,6850,10148,5574,17624,14285
2019년02월,1201802,1017208,213200,453379,94559,29294,51312,39220,27484,9792,18115,8309,42181,9176,16878,7149,76380,57732,13551,61549,20001,6866,7876,5830,10622,8331
2019년03월,1535641,1275790,375119,487623,98510,38701,46068,53100,40789,22105,25626,10646,46991,8724,22850,8405,110027,84275,18670,87805,27992,11142,12813,7469,15144,12263
2019년04월,1635066,1316534,290092,493250,113072,66525,76104,69726,43726,23307,31427,12933,63169,7582,22668,7378,133817,102524,21361,112581,34205,12873,16707,11616,24211,19938
2019년05월,1485684,1205936,286273,500413,101779,50569,57026,52660,31217,20114,18936,13858,44416,8014,17969,6839,123519,95815,19439,97754,32955,10103,11522,10395,17368,13558
2019년06월,1476218,1197130,282476,475007,118437,40748,61728,37684,25538,24743,27880,13249,58339,9244,23074,7295,129186,105398,16133,87723,28666,8947,11155,8559,17352,13201
2019년07월,1448067,1171203,274830,519132,113587,29074,59036,37278,16831,10992,18260,10432,52521,8766,23880,7405,122257,97428,16103,94521,28421,9675,10826,10716,15205,11840
2019년08월,1586299,1303227,329652,578112,109273,41817,65958,32830,20520,13008,18210,17001,43583,9626,25117,7983,112483,86586,16700,104736,28700,11159,13116,12984,17368,13647
2019년09월,1459664,1168865,251119,541350,102758,36252,45911,36052,28020,17745,19309,12716,43617,10900,24078,9056,119156,90819,18213,102751,30266,12670,13325,10242,21830,17269
2019년10월,1656195,1340928,248541,567695,127944,55394,65544,65878,45354,24719,28494,13160,64820,11221,24364,8375,131722,101099,20624,114725,33379,13322,15911,12546,20375,16251
2019년11월,1456429,1204970,258522,505369,102241,41739,58600,49998,49282,27546,23760,12184,43190,10519,20192,7176,106706,82238,16862,87560,26708,9819,11542,8111,16996,13346
